player_id,web_name,start_rate,minutes,expected_goals_per_90,expected_assists_per_90,expected_goals_conceded_per_90
257,Bassey,0.737,2532,0.06,0.01,1.35
261,Iwobi,0.763,2420,0.07,0.17,1.33
41,Buendía,0.553,1753,0.17,0.11,1.44
116,Dunk,0.816,2837,0.06,0.02,1.33
31,Konsa,0.895,3035,0.04,0.02,1.45
327,Bijol,0.553,1888,0.04,0.04,1.5
97,Jensen,0.684,2239,0.09,0.24,1.44
129,Ayari,0.526,1921,0.13,0.05,1.26
30,Digne,0.553,1842,0.03,0.16,1.36
127,Gomez,0.684,2117,0.27,0.07,1.25
144,Gusto,0.684,2255,0.06,0.12,1.48
497,Dubravka,0.921,3150,0.0,0.0,2.04
442,Pope,0.711,2416,0.01,0.0,1.23
330,Bogle,0.842,2795,0.07,0.1,1.29
249,Barry,0.553,1898,0.39,0.02,1.59
233,Mykolenko,0.868,2959,0.01,0.07,1.47
415,Dorgu,0.395,1440,0.15,0.12,1.23
269,Sessegnon,0.526,1816,0.08,0.09,1.3
130,Wieffer,0.605,1901,0.09,0.09,1.13
332,Justin,0.553,1893,0.09,0.06,1.57
448,Burn,0.658,2195,0.04,0.01,1.24
404,Reijnders,0.5,1623,0.26,0.13,1.04
552,Brobbey,0.579,1920,0.28,0.03,1.47
123,Hinshelwood,0.526,1736,0.26,0.12,1.44
350,A.Becker,0.684,2340,0.0,0.0,1.14
500,Romero,0.579,1869,0.07,0.06,1.36
431,Amad,0.711,2339,0.21,0.18,1.22
265,Berge,0.895,2904,0.05,0.05,1.34
494,Vicario,0.816,2790,0.0,0.0,1.49
418,Maguire,0.5,1649,0.06,0.03,1.25
447,Botman,0.553,1834,0.08,0.04,1.35
488,Sangaré,0.658,2073,0.05,0.08,1.44
482,Hudson-Odoi,0.553,1838,0.14,0.15,1.51
125,Georginio,0.526,1776,0.15,0.15,1.09
9,Hincapie,0.526,1787,0.02,0.08,0.88
516,Bentancur,0.605,1880,0.03,0.04,1.13
54,Gomes,0.658,2207,0.05,0.05,1.98
358,Kerkez,0.711,2251,0.06,0.03,1.2
115,De Cuyper,0.447,1404,0.11,0.26,1.54
549,Talbi,0.421,1553,0.12,0.07,1.29
472,Murillo,0.658,2130,0.03,0.02,1.39
457,J.Murphy,0.5,1606,0.17,0.15,1.36
484,Hutchinson,0.447,1676,0.11,0.21,1.31
256,Tete,0.553,1791,0.05,0.07,1.3
455,Tonali,0.816,2534,0.06,0.1,1.29
373,C.Jones,0.474,1923,0.1,0.13,1.47
545,Sadiki,0.868,2891,0.04,0.05,1.29
262,Smith Rowe,0.579,1909,0.22,0.05,1.47
513,Xavi,0.5,1747,0.16,0.2,1.58
391,Gvardiol,0.421,1370,0.15,0.05,1.05
238,Grealish,0.474,1627,0.11,0.19,1.43
449,Hall,0.632,2176,0.04,0.11,1.56
514,Tel,0.342,1334,0.17,0.16,1.17
124,Groß,0.474,1636,0.08,0.22,1.12
505,Spence,0.605,2049,0.04,0.08,1.38
73,Adams,0.553,1769,0.03,0.03,1.38
211,Yeremy,0.684,2074,0.2,0.27,1.3
101,Henderson,0.579,1911,0.02,0.11,1.33
465,Osula,0.211,805,0.48,0.07,1.62
87,Ajer,0.526,1805,0.03,0.04,1.57
48,Onana,0.553,1755,0.09,0.04,1.46
222,Strand Larsen,0.684,2301,0.21,0.04,1.41
512,Kudus,0.5,1535,0.11,0.14,1.33
15,Ødegaard,0.421,1363,0.08,0.24,1.07
553,Isidor,0.289,1148,0.37,0.03,1.55
98,Janelt,0.395,1434,0.05,0.14,1.67
536,Reinildo,0.605,1966,0.01,0.03,1.22
458,Joelinton,0.605,1950,0.11,0.06,1.33
347,Nmecha,0.263,1065,0.61,0.13,1.85
432,Mainoo,0.421,1653,0.03,0.07,1.25
16,Madueke,0.421,1205,0.09,0.21,0.95
203,Canvot,0.368,1331,0.1,0.02,1.61
459,L.Miley,0.395,1493,0.08,0.13,1.28
518,P.M.Sarr,0.342,1388,0.11,0.07,1.73
325,Darlow,0.579,1980,0.0,0.0,1.29
402,Rodrigo,0.447,1510,0.07,0.15,1.24
213,Lerma,0.474,1722,0.1,0.08,1.31
331,Gudmundsson,0.816,2637,0.04,0.1,1.4
240,Iroegbunam,0.447,1477,0.03,0.04,1.5
43,Tielemans,0.553,1857,0.06,0.16,1.52
17,Merino,0.263,1024,0.3,0.13,0.65
67,Rayan,0.342,1110,0.22,0.15,1.55
214,Kamada,0.579,1899,0.08,0.15,1.23
473,Aina,0.474,1587,0.02,0.05,1.44
393,Khusanov,0.395,1427,0.04,0.08,1.32
77,Adli,0.263,1074,0.22,0.14,1.53
267,Lukić,0.526,1730,0.12,0.1,1.44
345,Tanaka,0.368,1307,0.1,0.1,1.48
209,Johnson,0.5,1710,0.13,0.07,1.49
145,Fofana,0.526,1718,0.04,0.03,1.35
254,Robinson,0.447,1487,0.06,0.1,1.46
543,Diarra,0.395,1403,0.21,0.05,1.38
34,Pau,0.474,1673,0.07,0.02,1.23
268,King,0.395,1290,0.17,0.05,1.32
405,N.Gonzalez,0.447,1561,0.04,0.06,1.17
501,Danso,0.447,1489,0.04,0.02,1.22
357,Frimpong,0.316,1032,0.04,0.14,1.13
121,Mitoma,0.5,1714,0.21,0.14,1.25
456,J.Ramsey,0.395,1441,0.07,0.09,1.7
522,Gray,0.474,1471,0.09,0.08,1.52
47,Kamara,0.447,1410,0.03,0.05,1.33
258,Castagne,0.526,1838,0.07,0.07,1.6
392,Aït-Nouri,0.316,971,0.05,0.19,1.14
74,Brooks,0.342,1188,0.44,0.26,1.53
450,Livramento,0.368,1326,0.01,0.06,1.26
64,Smith,0.368,1073,0.0,0.02,1.52
157,Estêvão,0.316,839,0.31,0.23,1.1
430,Mount,0.316,1010,0.14,0.14,1.11
18,Martinelli,0.289,1065,0.35,0.11,0.89
46,Barkley,0.184,844,0.17,0.13,1.41
160,Garnacho,0.368,1261,0.25,0.26,1.46
344,Gruev,0.395,1318,0.03,0.06,1.73
339,Longstaff,0.263,1003,0.11,0.17,1.42
401,Marmoush,0.211,691,0.36,0.1,1.03
131,Baleba,0.605,1646,0.04,0.04,1.12
420,Yoro,0.474,1730,0.07,0.03,1.4
502,Robertson,0.289,1165,0.08,0.11,1.35
36,Maatsen,0.447,1590,0.07,0.14,1.51
470,Morato,0.368,1340,0.09,0.01,1.63
241,McNeil,0.368,1161,0.11,0.15,1.46
422,Mazraoui,0.289,977,0.02,0.03,1.2
89,Henry,0.368,1322,0.01,0.04,1.63
446,Schär,0.289,1089,0.08,0.05,1.14
419,Martinez,0.342,1229,0.01,0.04,1.11
33,Mings,0.395,1322,0.09,0.03,1.59
483,Ndoye,0.368,1167,0.08,0.12,1.23
263,Kevin,0.237,1030,0.11,0.13,1.27
520,Bergvall,0.289,955,0.12,0.04,1.29
487,Dominguez,0.447,1168,0.11,0.06,1.79
454,Elanga,0.368,1302,0.11,0.12,1.46
162,Andrey Santos,0.342,1247,0.14,0.06,1.36
75,Christie,0.237,978,0.17,0.07,1.76
517,Odobert,0.263,972,0.18,0.11,1.32
62,Diakité,0.395,1275,0.0,0.01,1.59
10,White,0.237,699,0.06,0.09,1.12
212,Hughes,0.5,1560,0.06,0.11,1.46
167,Delap,0.316,1092,0.37,0.02,1.37
519,Gallagher,0.368,1183,0.09,0.05,1.45
42,Guessand,0.237,909,0.15,0.08,1.43
369,Ngumoha,0.132,547,0.22,0.33,1.47
492,Awoniyi,0.079,480,0.69,0.14,1.94
403,Savinho,0.184,817,0.28,0.18,1.24
416,De Ligt,0.342,1170,0.11,0.06,1.44
326,Perri,0.421,1440,0.0,0.0,1.67
360,Bradley,0.316,928,0.02,0.08,1.04
264,Bobb,0.289,1030,0.13,0.18,1.11
421,Heaven,0.289,920,0.03,0.02,1.17
440,Zirkzee,0.132,607,0.41,0.05,1.4
379,Isak,0.211,694,0.34,0.01,1.09
490,Wood,0.289,896,0.43,0.03,1.45
266,Cairney,0.158,756,0.14,0.1,1.39
70,Kluivert,0.263,945,0.22,0.15,1.71
71,Cook,0.211,872,0.01,0.05,1.44
35,Bogarde,0.289,1042,0.0,0.02,1.33
526,Solanke,0.289,997,0.27,0.03,1.61
11,Mosquera,0.237,986,0.01,0.06,0.83
475,Savona,0.289,1025,0.12,0.04,1.32
114,Boscagli,0.237,799,0.01,0.05,1.22
151,Acheampong,0.211,657,0.08,0.02,2.15
255,J.Cuenca,0.289,935,0.0,0.05,1.41
460,Willock,0.263,972,0.12,0.1,1.65
433,Ugarte,0.211,876,0.07,0.02,1.87
90,Hickey,0.211,679,0.06,0.02,1.2
370,Chiesa,0.026,317,0.41,0.17,1.85
215,Devenny,0.184,785,0.27,0.04,1.69
271,Muniz,0.263,987,0.3,0.01,1.26
246,Röhl,0.158,675,0.09,0.05,1.77
26,Havertz,0.184,577,0.52,0.1,1.04
548,Rigg,0.289,758,0.1,0.11,1.48
138,Kostoulas,0.053,351,0.54,0.14,1.55
147,Tosin,0.211,788,0.01,0.05,1.51
546,Adingra,0.237,649,0.05,0.09,1.57
351,Mamardashvili,0.263,867,0.0,0.0,1.38
359,Gomez,0.184,594,0.04,0.1,1.41
230,Branthwaite,0.184,678,0.05,0.01,1.25
341,Gnonto,0.105,521,0.07,0.13,2.07
259,Diop,0.211,812,0.09,0.01,1.38
489,Yates,0.053,602,0.07,0.06,1.28
506,Udogie,0.368,1335,0.01,0.05,1.29
7,Lewis-Skelly,0.132,697,0.01,0.03,1.16
37,Lindelöf,0.289,942,0.03,0.01,1.52
243,Alcaraz,0.158,679,0.16,0.07,1.8
464,Wissa,0.105,517,0.54,0.09,1.74
80,Enes Ünal,0.0,214,0.84,0.03,2.59
539,O'Nien,0.132,565,0.02,0.02,1.47
485,Bakwa,0.158,549,0.09,0.17,1.79
333,Bornauw,0.132,429,0.04,0.0,1.83
158,Gittens,0.132,486,0.15,0.17,1.65
27,G.Jesus,0.079,418,0.58,0.06,0.85
343,James,0.158,547,0.15,0.12,2.37
224,Nketiah,0.053,414,0.38,0.1,2.06
56,Abraham,0.053,278,0.66,0.12,1.66
234,Patterson,0.079,238,0.01,0.02,1.39
44,Bailey,0.079,450,0.1,0.29,1.41
244,Armstrong,0.158,524,0.14,0.04,1.88
206,Chadi Riad,0.158,550,0.05,0.02,1.49
496,Kinsky,0.184,630,0.0,0.0,0.79
395,Lewis,0.105,401,0.04,0.31,1.53
148,Hato,0.316,1139,0.02,0.05,1.46
63,Milosavljević,0.105,367,0.04,0.05,1.08
245,Dibling,0.105,349,0.05,0.04,1.71
486,McAtee,0.053,288,0.06,0.12,2.29
225,Uche,0.0,159,0.28,0.01,2.62
348,Piroe,0.053,244,0.33,0.05,2.51
126,O'Riley,0.053,202,0.54,0.08,1.13
137,Tzimas,0.026,132,0.3,0.08,1.77
242,George,0.026,351,0.16,0.31,1.66
531,Ellborg,0.079,270,0.0,0.01,1.37
20,Dowman,0.026,152,0.7,0.18,0.52
29,M.Bizot,0.158,585,0.0,0.0,1.7
270,Reed,0.026,89,0.13,0.46,3.47
547,Mundle,0.053,399,0.2,0.11,1.93
91,Pinnock,0.105,318,0.0,0.02,1.05
24,Nelson,0.0,118,0.54,0.08,2.3
161,Lavia,0.105,374,0.05,0.13,2.05
100,Carvalho,0.026,100,0.63,0.03,1.87
474,Jair Cunha,0.158,514,0.05,0.01,1.81
551,Angulo,0.132,401,0.17,0.03,1.63
385,Trafford,0.105,360,0.0,0.0,1.44
168,Marc Guiu,0.026,265,0.52,0.1,2.0
374,Endo,0.026,170,0.02,0.03,2.18
104,Onyeka,0.0,88,0.0,0.37,2.07
342,Harrison,0.026,262,0.1,0.08,1.31
72,Gannon-Doak,0.0,105,0.22,0.11,4.06
468,John,0.132,437,0.0,0.0,1.26
413,Bayindir,0.158,540,0.0,0.01,1.54
478,Netz,0.079,353,0.0,0.1,2.01
117,Coppola,0.053,193,0.0,0.0,2.11
508,Davies,0.053,136,0.32,0.05,0.73
141,Jörgensen,0.079,378,0.0,0.0,0.98
406,Kovačić,0.026,125,0.09,0.3,2.88
493,Kalimuendo,0.0,89,0.44,0.02,1.59
149,Colwill,0.053,225,0.0,0.05,1.34
76,Tóth.A,0.053,135,0.07,0.22,3.27
22,Nwaneri,0.0,165,0.13,0.04,0.4
199,Benitez,0.026,90,0.0,0.0,1.12
146,B.Badiashile,0.158,470,0.0,0.01,1.42
21,Nørgaard,0.026,101,0.07,0.04,2.03
118,Igor,0.026,103,0.0,0.0,4.07
