gameweek,player_id,web_name,position,team_name,xp_predicted,now_cost_at_prediction,selected_by_percent_at_prediction,actual_points,points_per_game_at_prediction,ep_next_at_prediction,start_rate_at_prediction,xp_fresh_at_prediction,xp_horizon_at_prediction,xp_model_at_prediction,ep_x_start_rate_at_prediction,ep_x_availability_at_prediction
1,403,Savinho,MID,Man City,1.06,6.5,0.1,0.0,,,,,,,,
1,326,Perri,GKP,Leeds,1.26,4.5,0.6,0.0,,,,,,,,
1,264,Bobb,MID,Fulham,0.8,5.5,0.3,2.0,,,,,,,,
1,421,Heaven,DEF,Man Utd,1.59,4.5,0.4,1.0,,,,,,,,
1,440,Zirkzee,FWD,Man Utd,1.03,5.5,0.7,0.0,,,,,,,,
1,379,Isak,FWD,Liverpool,0.93,9.0,15.5,2.0,,,,,,,,
1,490,Wood,FWD,Nott'm Forest,1.74,6.0,1.7,1.0,,,,,,,,
1,70,Kluivert,MID,Bournemouth,0.4,6.0,1.1,3.0,,,,,,,,
1,71,Cook,MID,Bournemouth,0.22,5.0,0.1,3.0,,,,,,,,
1,35,Bogarde,MID,Aston Villa,0.8,5.0,0.1,1.0,,,,,,,,
1,526,Solanke,FWD,Spurs,1.09,6.0,1.7,1.0,,,,,,,,
1,11,Mosquera,DEF,Arsenal,1.58,5.5,11.4,6.0,,,,,,,,
1,114,Boscagli,DEF,Brighton,1.01,4.5,0.2,6.0,,,,,,,,
1,151,Acheampong,DEF,Chelsea,0.82,4.5,0.3,3.0,,,,,,,,
1,255,J.Cuenca,DEF,Fulham,0.71,4.5,0.0,3.0,,,,,,,,
1,460,Willock,MID,Newcastle,0.66,5.0,0.1,6.0,,,,,,,,
1,90,Hickey,DEF,Brentford,0.99,4.5,0.1,1.0,,,,,,,,
1,370,Chiesa,MID,Liverpool,0.52,5.5,0.2,0.0,,,,,,,,
1,215,Devenny,MID,Crystal Palace,0.91,5.0,0.0,0.0,,,,,,,,
1,271,Muniz,FWD,Fulham,0.69,5.5,0.6,1.0,,,,,,,,
1,246,Röhl,MID,Everton,0.63,5.0,0.1,3.0,,,,,,,,
1,26,Havertz,FWD,Arsenal,1.46,7.5,4.5,6.0,,,,,,,,
1,548,Rigg,MID,Sunderland,1.4,5.0,0.1,1.0,,,,,,,,
1,138,Kostoulas,FWD,Brighton,0.61,5.5,0.2,1.0,,,,,,,,
1,147,Tosin,DEF,Chelsea,0.85,4.5,0.2,0.0,,,,,,,,
1,546,Adingra,MID,Sunderland,1.08,5.0,0.3,0.0,,,,,,,,
1,351,Mamardashvili,GKP,Liverpool,0.96,5.0,0.2,0.0,,,,,,,,
1,230,Branthwaite,DEF,Everton,0.87,5.5,1.8,6.0,,,,,,,,
1,259,Diop,DEF,Ipswich Town,1.3,4.0,18.2,2.0,,,,,,,,
1,506,Udogie,DEF,Spurs,1.37,4.5,0.5,1.0,,,,,,,,
1,7,Lewis-Skelly,MID,Arsenal,0.67,5.5,0.5,3.0,,,,,,,,
1,37,Lindelöf,DEF,Aston Villa,1.06,4.5,0.2,-2.0,,,,,,,,
1,243,Alcaraz,MID,Everton,0.72,5.0,0.1,1.0,,,,,,,,
1,464,Wissa,FWD,Newcastle,0.53,6.0,1.6,4.0,,,,,,,,
1,539,O'Nien,DEF,Sunderland,0.84,4.0,3.1,1.0,,,,,,,,
1,485,Bakwa,MID,Nott'm Forest,0.95,5.5,0.0,0.0,,,,,,,,
1,333,Bornauw,DEF,Leeds,0.59,4.5,0.0,0.0,,,,,,,,
1,158,Gittens,MID,Chelsea,0.7,6.0,0.0,0.0,,,,,,,,
1,27,G.Jesus,FWD,Arsenal,0.94,6.0,0.4,0.0,,,,,,,,
1,343,James,MID,Leeds,0.73,5.0,0.1,0.0,,,,,,,,
1,224,Nketiah,FWD,Crystal Palace,0.51,5.5,0.5,1.0,,,,,,,,
1,234,Patterson,DEF,Everton,0.49,4.5,0.0,0.0,,,,,,,,
1,44,Bailey,MID,Aston Villa,0.57,5.5,0.1,0.0,,,,,,,,
1,244,Armstrong,MID,Everton,0.67,5.0,0.1,8.0,,,,,,,,
1,206,Chadi Riad,DEF,Crystal Palace,0.74,4.5,0.1,1.0,,,,,,,,
1,496,Kinsky,GKP,Spurs,0.95,4.5,21.0,2.0,,,,,,,,
1,395,Lewis,DEF,Man City,0.73,4.5,0.2,1.0,,,,,,,,
1,148,Hato,DEF,Chelsea,1.17,4.5,0.6,1.0,,,,,,,,
1,245,Dibling,MID,Everton,0.46,5.5,0.0,0.0,,,,,,,,
1,486,McAtee,MID,Nott'm Forest,0.49,5.5,0.0,3.0,,,,,,,,
1,348,Piroe,FWD,Leeds,0.46,5.0,0.5,0.0,,,,,,,,
1,126,O'Riley,MID,Brighton,0.7,5.5,0.1,0.0,,,,,,,,
1,242,George,MID,Everton,0.43,5.5,0.3,3.0,,,,,,,,
1,531,Ellborg,GKP,Sunderland,0.64,4.5,0.1,0.0,,,,,,,,
1,20,Dowman,MID,Arsenal,0.98,5.5,0.1,0.0,,,,,,,,
1,29,M.Bizot,GKP,Aston Villa,0.62,4.5,0.1,1.0,,,,,,,,
1,270,Reed,MID,Fulham,0.3,4.5,1.2,0.0,,,,,,,,
1,547,Mundle,MID,Sunderland,0.62,5.0,0.0,0.0,,,,,,,,
1,91,Pinnock,DEF,Brentford,0.62,4.5,0.1,0.0,,,,,,,,
1,24,Nelson,MID,Arsenal,0.59,5.5,0.0,0.0,,,,,,,,
1,161,Lavia,MID,Chelsea,0.5,5.0,0.0,1.0,,,,,,,,
1,474,Jair Cunha,DEF,Nott'm Forest,0.9,4.5,0.3,1.0,,,,,,,,
1,551,Angulo,MID,Sunderland,0.85,5.0,0.1,5.0,,,,,,,,
1,385,Trafford,GKP,Leeds,0.53,5.0,2.9,9.0,,,,,,,,
1,168,Marc Guiu,FWD,Chelsea,0.48,5.0,0.4,0.0,,,,,,,,
1,374,Endo,MID,Liverpool,0.25,5.0,0.0,0.0,,,,,,,,
1,104,Onyeka,MID,Coventry City,0.09,5.0,0.1,2.0,,,,,,,,
1,72,Gannon-Doak,MID,Bournemouth,0.1,5.0,0.1,1.0,,,,,,,,
1,468,John,GKP,Nott'm Forest,0.85,4.5,0.1,0.0,,,,,,,,
1,478,Netz,DEF,Nott'm Forest,0.59,4.5,0.0,1.0,,,,,,,,
1,117,Coppola,DEF,Brighton,0.33,4.5,0.0,0.0,,,,,,,,
1,508,Davies,DEF,Spurs,0.8,4.0,1.0,0.0,,,,,,,,
1,406,Kovačić,MID,Man City,0.38,5.5,0.1,1.0,,,,,,,,
1,493,Kalimuendo,FWD,Nott'm Forest,0.44,5.5,0.0,1.0,,,,,,,,
1,149,Colwill,DEF,Chelsea,0.43,5.0,1.7,0.0,,,,,,,,
